Ma: 4.0,,Ma: 8.0,,Ma: 12.0,,Ma: 16.0,,Ma: 20.0,,Ma: 24.0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
29.999999999999996,2.93,29.999999999999996,2.64,29.999999999999996,2.4,29.999999999999996,2.33,29.99999999999999,2.2399999999999998,29.99999999999999,2.18
34.999999999999986,3.45,35.125,3.0300000000000002,34.99999999999987,2.7599999999999985,34.999999999999986,2.68,34.999999999999986,2.6100000000000003,34.999999999999986,2.5200000000000005
39.999999999999986,3.74,39.999999999999986,3.3099999999999996,39.999999999999986,3.0100000000000002,39.999999999999986,2.92,39.999999999999986,2.83,39.999999999999986,2.75
45,3.87,45,3.63,45,3.34,45,3.26,45,3.14,45,3.0599999999999996
50,4.03,50,3.63,50,3.32,54.999999999999986,3.25,49.999999999999986,3.11,49.99999999999997,3.0300000000000002
55,3.84,55,3.62,55,3.34,60,2.92,55,3.12,55,3
60,3.67,60,3.3099999999999996,60,2.75,65,2.64,60,2.95,59.999999999999986,2.88
65,3.2,65,2.9799999999999995,65,2.75,70.00000000000001,2.22,65,2.55,65.00000000000001,2.36
70.00000000000001,2.69,69.99999999999999,2.4000000000000004,69.99999999999999,2.3099999999999996,74.99999999999999,1.6,70.00000000000001,2.11,70.00000000000001,1.87
75,2.0000000000000004,75,1.83,75,1.6700000000000004,80,0.9799999999999995,75,1.58,74.99999999999999,1.4999999999999996
79.99999999999999,1.2700000000000005,80,1.0899999999999999,80,1.0600000000000005,85.00000000000001,0.28000000000000025,80,0.8899999999999992,79.99999999999996,0.8300000000000001
84.99999999999999,0.46000000000000085,84.99999999999999,0.3799999999999999,84.99999999999999,0.33999999999999986,89.99999999999999,-0.4400000000000013,84.99999999999999,0.21999999999999975,84.99999999999999,0.17000000000000082
90,-0.34999999999999964,90,-0.3600000000000003,90,-0.379999999999999,,,90,-0.47999999999999954,89.99999999999999,-0.5199999999999987
